,Book,Author,Genre,Year Of publication,Average rating,Number of ratings,BookCover Image
988,The Lies of Locke Lamora ,Scott Lynch,fantasy,2006,4.3,172268,https://images.gr-assets.com/books/1458646334s/29588376.jpg
989,Assassin's Apprentice ,Robin Hobb,fantasy,1995,4.15,194276,https://images.gr-assets.com/books/1464570795s/77197.jpg
990,The Sea of Monsters ,Rick Riordan,fantasy,2006,4.24,627122,https://images.gr-assets.com/books/1400602661s/28186.jpg
991,Eldest ,Christopher Paolini,fantasy,2005,3.97,303698,https://images.gr-assets.com/books/1387119654s/45978.jpg
992,The Silmarillion ,J.R.R. Tolkien,fantasy,1977,3.91,184079,https://images.gr-assets.com/books/1336502583s/7332.jpg
993,The Magician's Nephew ,C.S. Lewis,fantasy,1955,4.03,346320,https://images.gr-assets.com/books/1308814770s/65605.jpg
994,The Hunger Games ,Suzanne Collins,fantasy,2008,4.33,5633350,https://images.gr-assets.com/books/1447303603s/2767052.jpg
995,The Well of Ascension ,Brandon Sanderson,fantasy,2007,4.36,217707,https://images.gr-assets.com/books/1480717596s/68429.jpg
996,The Way of Kings ,Brandon Sanderson,fantasy,2010,4.65,221990,https://images.gr-assets.com/books/1388184640s/7235533.jpg
997,A Court of Thorns and Roses ,Sarah J. Maas,fantasy,2015,4.27,303336,https://images.gr-assets.com/books/1546406962s/16096824.jpg
998,A Darker Shade of Magic ,V.E. Schwab,fantasy,2015,4.09,130895,https://images.gr-assets.com/books/1400322851s/22055262.jpg
999,A Wizard of Earthsea ,Ursula K. Le Guin,fantasy,1968,4.0,195334,https://images.gr-assets.com/books/1353424536s/13642.jpg
1000,And Then There Were None ,Agatha Christie,mystery,1939,4.25,609131,https://images.gr-assets.com/books/1391120695s/16299.jpg
1001,The Girl with the Dragon Tattoo ,Stieg Larsson,mystery,2005,4.13,2239168,https://images.gr-assets.com/books/1327868566s/2429135.jpg
1002,Gone Girl ,Gillian Flynn,mystery,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
1003,Murder on the Orient Express ,Agatha Christie,mystery,1934,4.16,283257,https://images.gr-assets.com/books/1486131451s/853510.jpg
1004,The Girl on the Train ,Paula Hawkins,mystery,2015,3.9,1650360,https://images.gr-assets.com/books/1490903702s/22557272.jpg
1005,The Da Vinci Code ,Dan Brown,mystery,2003,3.82,1697244,https://images.gr-assets.com/books/1546100524s/968.jpg
1006,The Cuckoo's Calling ,Robert Galbraith,mystery,2013,3.85,410798,https://images.gr-assets.com/books/1540217136s/16160797.jpg
1007,Angels & Demons  ,Dan Brown,mystery,2000,3.88,2343098,https://images.gr-assets.com/books/1527091700s/960.jpg
1008,The Girl Who Played with Fire ,Stieg Larsson,mystery,2006,4.23,733437,https://images.gr-assets.com/books/1351778881s/5060378.jpg
1009,In the Woods ,Tana French,mystery,2007,3.76,246982,https://images.gr-assets.com/books/1538771792s/2459785.jpg
1010,The Sweetness at the Bottom of the Pie ,Alan Bradley,mystery,2009,3.81,124086,https://images.gr-assets.com/books/1529610868s/40605285.jpg
1011,The Mysterious Affair at Styles ,Agatha Christie,mystery,1920,3.99,195991,https://images.gr-assets.com/books/1386922393s/16343.jpg
1012,A Study in Scarlet ,Arthur Conan Doyle,mystery,1887,4.15,264397,https://images.gr-assets.com/books/1519031842s/102868.jpg
1013,The Girl Who Kicked the Hornet's Nest ,Stieg Larsson,mystery,2007,4.22,581762,https://images.gr-assets.com/books/1327708260s/6892870.jpg
1014,The Hound of the Baskervilles ,Arthur Conan Doyle,mystery,1902,4.1,207331,https://images.gr-assets.com/books/1355929358s/8921.jpg
1015,One for the Money ,Janet Evanovich,mystery,1994,4.03,443798,https://images.gr-assets.com/books/1316730230s/6853.jpg
1016,The Murder of Roger Ackroyd ,Agatha Christie,mystery,1926,4.23,110680,https://images.gr-assets.com/books/1389734015s/16328.jpg
1017,The Silkworm ,Robert Galbraith,mystery,2014,4.04,181296,https://images.gr-assets.com/books/1540217126s/18214414.jpg
1018,Dark Places ,Gillian Flynn,mystery,2009,3.93,472311,https://images.gr-assets.com/books/1354988288s/5886881.jpg
1019,Sharp Objects ,Gillian Flynn,mystery,2006,3.95,495374,https://images.gr-assets.com/books/1475695315s/18045891.jpg
1020,The Adventures of Sherlock Holmes ,Arthur Conan Doyle,mystery,1892,4.31,210357,https://images.gr-assets.com/books/1164045516s/3590.jpg
1021,Still Life ,Louise Penny,mystery,2005,3.88,106742,https://images.gr-assets.com/books/1324373974s/338691.jpg
1022,Murder at the Vicarage ,Agatha Christie,mystery,1930,4.05,119668,https://images.gr-assets.com/books/1388386575s/16331.jpg
1023,The Lost Symbol ,Dan Brown,mystery,2009,3.69,460033,https://images.gr-assets.com/books/1534070883s/6411961.jpg
1024,Death on the Nile ,Agatha Christie,mystery,1937,4.09,92295,https://images.gr-assets.com/books/1486837149s/131359.jpg
1025,The No. 1 Ladies' Detective Agency ,Alexander McCall Smith,mystery,1998,3.77,208864,https://images.gr-assets.com/books/1459953654s/7061.jpg
1026,The Beekeeper's Apprentice ,Laurie R. King,mystery,1994,4.07,61625,https://images.gr-assets.com/books/1390284148s/91661.jpg
1027,Rebecca ,Daphne du Maurier,mystery,1938,4.22,378113,https://images.gr-assets.com/books/1386605169s/17899948.jpg
1028,Career of Evil ,Robert Galbraith,mystery,2015,4.22,129575,https://images.gr-assets.com/books/1529685910s/40611999.jpg
1029,The Westing Game ,Ellen Raskin,mystery,1978,4.03,140921,https://images.gr-assets.com/books/1356850909s/902.jpg
1030,The A.B.C. Murders ,Agatha Christie,mystery,1936,4.0,73351,https://images.gr-assets.com/books/1389733983s/16322.jpg
1031,The Shadow of the Wind ,Carlos Ruiz Zafón,mystery,2001,4.26,374865,https://images.gr-assets.com/books/1344545047s/1232.jpg
1032,The Curious Incident of the Dog in the Night-Time ,Mark Haddon,mystery,2003,3.87,1034979,https://images.gr-assets.com/books/1479863624s/1618.jpg
1033,A is for Alibi ,Sue Grafton,mystery,1982,3.83,142916,https://images.gr-assets.com/books/1388198817s/64863.jpg
1034,Maisie Dobbs ,Jacqueline Winspear,mystery,2003,3.92,65885,https://images.gr-assets.com/books/1312066155s/462033.jpg
1035,The Thirteenth Tale ,Diane Setterfield,mystery,2006,3.95,246802,https://images.gr-assets.com/books/1346267826s/40440.jpg
1036,Two for the Dough ,Janet Evanovich,mystery,1996,4.11,136679,https://images.gr-assets.com/books/1330926461s/6427.jpg
1037,Crocodile on the Sandbank ,Elizabeth Peters,mystery,1975,4.02,54136,https://images.gr-assets.com/books/1532091568s/40881649.jpg
1038,The Lovely Bones ,Alice Sebold,mystery,2002,3.79,1812446,https://images.gr-assets.com/books/1457810586s/12232938.jpg
1039,The Sign of Four ,Arthur Conan Doyle,mystery,1890,3.95,85458,https://images.gr-assets.com/books/1299346921s/608474.jpg
1040,The Woman in Cabin 10 ,Ruth Ware,mystery,2016,3.68,243603,https://images.gr-assets.com/books/1465878007s/28187230.jpg
1041,Inferno ,Dan Brown,mystery,2013,3.83,406739,https://images.gr-assets.com/books/1534070896s/17212231.jpg
1042,The Complete Sherlock Holmes ,Arthur Conan Doyle,mystery,1927,4.51,153111,https://images.gr-assets.com/books/1548271954s/188572.jpg
1043,The Body in the Library ,Agatha Christie,mystery,1942,3.85,52128,https://images.gr-assets.com/books/1389733809s/16319.jpg
1044,Three to Get Deadly ,Janet Evanovich,mystery,1997,4.15,126449,https://images.gr-assets.com/books/1311727539s/6854.jpg
1045,The Weed That Strings the Hangman's Bag ,Alan Bradley,mystery,2010,3.99,43037,https://images.gr-assets.com/books/1388266442s/6777616.jpg
1046,We Were Liars ,E. Lockhart,mystery,2014,3.84,373308,https://images.gr-assets.com/books/1402749479s/16143347.jpg
1047,The Likeness ,Tana French,mystery,2008,4.06,97775,https://images.gr-assets.com/books/1538062804s/5941114.jpg
1048,Whose Body?  ,Dorothy L. Sayers,mystery,1923,3.89,36822,https://images.gr-assets.com/books/1387573241s/192893.jpg
1049,The Name of the Rose ,Umberto Eco,mystery,1980,4.12,257106,https://images.gr-assets.com/books/1415375471s/119073.jpg
1050,And Then There Were None ,Agatha Christie,mystery,1939,4.25,609131,https://images.gr-assets.com/books/1391120695s/16299.jpg
1051,The Girl with the Dragon Tattoo ,Stieg Larsson,mystery,2005,4.13,2239168,https://images.gr-assets.com/books/1327868566s/2429135.jpg
1052,Gone Girl ,Gillian Flynn,mystery,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
1053,Murder on the Orient Express ,Agatha Christie,mystery,1934,4.16,283257,https://images.gr-assets.com/books/1486131451s/853510.jpg
1054,The Girl on the Train ,Paula Hawkins,mystery,2015,3.9,1650360,https://images.gr-assets.com/books/1490903702s/22557272.jpg
1055,The Da Vinci Code ,Dan Brown,mystery,2003,3.82,1697244,https://images.gr-assets.com/books/1546100524s/968.jpg
1056,The Cuckoo's Calling ,Robert Galbraith,mystery,2013,3.85,410798,https://images.gr-assets.com/books/1540217136s/16160797.jpg
1057,Angels & Demons  ,Dan Brown,mystery,2000,3.88,2343098,https://images.gr-assets.com/books/1527091700s/960.jpg
1058,The Girl Who Played with Fire ,Stieg Larsson,mystery,2006,4.23,733437,https://images.gr-assets.com/books/1351778881s/5060378.jpg
1059,In the Woods ,Tana French,mystery,2007,3.76,246982,https://images.gr-assets.com/books/1538771792s/2459785.jpg
1060,The Sweetness at the Bottom of the Pie ,Alan Bradley,mystery,2009,3.81,124086,https://images.gr-assets.com/books/1529610868s/40605285.jpg
1061,The Mysterious Affair at Styles ,Agatha Christie,mystery,1920,3.99,195991,https://images.gr-assets.com/books/1386922393s/16343.jpg
1062,A Study in Scarlet ,Arthur Conan Doyle,mystery,1887,4.15,264397,https://images.gr-assets.com/books/1519031842s/102868.jpg
1063,The Girl Who Kicked the Hornet's Nest ,Stieg Larsson,mystery,2007,4.22,581762,https://images.gr-assets.com/books/1327708260s/6892870.jpg
1064,The Hound of the Baskervilles ,Arthur Conan Doyle,mystery,1902,4.1,207331,https://images.gr-assets.com/books/1355929358s/8921.jpg
1065,One for the Money ,Janet Evanovich,mystery,1994,4.03,443798,https://images.gr-assets.com/books/1316730230s/6853.jpg
1066,The Murder of Roger Ackroyd ,Agatha Christie,mystery,1926,4.23,110680,https://images.gr-assets.com/books/1389734015s/16328.jpg
1067,The Silkworm ,Robert Galbraith,mystery,2014,4.04,181296,https://images.gr-assets.com/books/1540217126s/18214414.jpg
1068,Dark Places ,Gillian Flynn,mystery,2009,3.93,472311,https://images.gr-assets.com/books/1354988288s/5886881.jpg
1069,Sharp Objects ,Gillian Flynn,mystery,2006,3.95,495374,https://images.gr-assets.com/books/1475695315s/18045891.jpg
1070,The Adventures of Sherlock Holmes ,Arthur Conan Doyle,mystery,1892,4.31,210357,https://images.gr-assets.com/books/1164045516s/3590.jpg
1071,Still Life ,Louise Penny,mystery,2005,3.88,106744,https://images.gr-assets.com/books/1324373974s/338691.jpg
1072,Murder at the Vicarage ,Agatha Christie,mystery,1930,4.05,119668,https://images.gr-assets.com/books/1388386575s/16331.jpg
1073,The Lost Symbol ,Dan Brown,mystery,2009,3.69,460033,https://images.gr-assets.com/books/1534070883s/6411961.jpg
1074,Death on the Nile ,Agatha Christie,mystery,1937,4.09,92295,https://images.gr-assets.com/books/1486837149s/131359.jpg
1075,The No. 1 Ladies' Detective Agency ,Alexander McCall Smith,mystery,1998,3.77,208864,https://images.gr-assets.com/books/1459953654s/7061.jpg
1076,The Beekeeper's Apprentice ,Laurie R. King,mystery,1994,4.07,61625,https://images.gr-assets.com/books/1390284148s/91661.jpg
1077,Rebecca ,Daphne du Maurier,mystery,1938,4.22,378113,https://images.gr-assets.com/books/1386605169s/17899948.jpg
1078,Career of Evil ,Robert Galbraith,mystery,2015,4.22,129575,https://images.gr-assets.com/books/1529685910s/40611999.jpg
1079,The Westing Game ,Ellen Raskin,mystery,1978,4.03,140921,https://images.gr-assets.com/books/1356850909s/902.jpg
1080,The A.B.C. Murders ,Agatha Christie,mystery,1936,4.0,73351,https://images.gr-assets.com/books/1389733983s/16322.jpg
1081,The Shadow of the Wind ,Carlos Ruiz Zafón,mystery,2001,4.26,374865,https://images.gr-assets.com/books/1344545047s/1232.jpg
1082,The Curious Incident of the Dog in the Night-Time ,Mark Haddon,mystery,2003,3.87,1034979,https://images.gr-assets.com/books/1479863624s/1618.jpg
1083,A is for Alibi ,Sue Grafton,mystery,1982,3.83,142916,https://images.gr-assets.com/books/1388198817s/64863.jpg
1084,Maisie Dobbs ,Jacqueline Winspear,mystery,2003,3.92,65885,https://images.gr-assets.com/books/1312066155s/462033.jpg
1085,The Thirteenth Tale ,Diane Setterfield,mystery,2006,3.95,246802,https://images.gr-assets.com/books/1346267826s/40440.jpg
1086,Two for the Dough ,Janet Evanovich,mystery,1996,4.11,136679,https://images.gr-assets.com/books/1330926461s/6427.jpg
1087,Crocodile on the Sandbank ,Elizabeth Peters,mystery,1975,4.02,54136,https://images.gr-assets.com/books/1532091568s/40881649.jpg
1088,The Lovely Bones ,Alice Sebold,mystery,2002,3.79,1812446,https://images.gr-assets.com/books/1457810586s/12232938.jpg
1089,The Sign of Four ,Arthur Conan Doyle,mystery,1890,3.95,85458,https://images.gr-assets.com/books/1299346921s/608474.jpg
1090,The Woman in Cabin 10 ,Ruth Ware,mystery,2016,3.68,243603,https://images.gr-assets.com/books/1465878007s/28187230.jpg
1091,Inferno ,Dan Brown,mystery,2013,3.83,406739,https://images.gr-assets.com/books/1534070896s/17212231.jpg
1092,The Complete Sherlock Holmes ,Arthur Conan Doyle,mystery,1927,4.51,153111,https://images.gr-assets.com/books/1548271954s/188572.jpg
1093,The Body in the Library ,Agatha Christie,mystery,1942,3.85,52128,https://images.gr-assets.com/books/1389733809s/16319.jpg
1094,Three to Get Deadly ,Janet Evanovich,mystery,1997,4.15,126449,https://images.gr-assets.com/books/1311727539s/6854.jpg
1095,The Weed That Strings the Hangman's Bag ,Alan Bradley,mystery,2010,3.99,43037,https://images.gr-assets.com/books/1388266442s/6777616.jpg
1096,We Were Liars ,E. Lockhart,mystery,2014,3.84,373308,https://images.gr-assets.com/books/1402749479s/16143347.jpg
1097,The Likeness ,Tana French,mystery,2008,4.06,97775,https://images.gr-assets.com/books/1538062804s/5941114.jpg
1098,Whose Body?  ,Dorothy L. Sayers,mystery,1923,3.89,36822,https://images.gr-assets.com/books/1387573241s/192893.jpg
1099,The Name of the Rose ,Umberto Eco,mystery,1980,4.12,257106,https://images.gr-assets.com/books/1415375471s/119073.jpg
1100,And Then There Were None ,Agatha Christie,mystery,1939,4.25,609131,https://images.gr-assets.com/books/1391120695s/16299.jpg
1101,The Girl with the Dragon Tattoo ,Stieg Larsson,mystery,2005,4.13,2239168,https://images.gr-assets.com/books/1327868566s/2429135.jpg
1102,Gone Girl ,Gillian Flynn,mystery,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
1103,Murder on the Orient Express ,Agatha Christie,mystery,1934,4.16,283257,https://images.gr-assets.com/books/1486131451s/853510.jpg
1104,The Girl on the Train ,Paula Hawkins,mystery,2015,3.9,1650360,https://images.gr-assets.com/books/1490903702s/22557272.jpg
1105,The Da Vinci Code ,Dan Brown,mystery,2003,3.82,1697244,https://images.gr-assets.com/books/1546100524s/968.jpg
1106,The Cuckoo's Calling ,Robert Galbraith,mystery,2013,3.85,410798,https://images.gr-assets.com/books/1540217136s/16160797.jpg
1107,Angels & Demons  ,Dan Brown,mystery,2000,3.88,2343098,https://images.gr-assets.com/books/1527091700s/960.jpg
1108,The Girl Who Played with Fire ,Stieg Larsson,mystery,2006,4.23,733437,https://images.gr-assets.com/books/1351778881s/5060378.jpg
1109,In the Woods ,Tana French,mystery,2007,3.76,246982,https://images.gr-assets.com/books/1538771792s/2459785.jpg
1110,The Sweetness at the Bottom of the Pie ,Alan Bradley,mystery,2009,3.81,124086,https://images.gr-assets.com/books/1529610868s/40605285.jpg
1111,The Mysterious Affair at Styles ,Agatha Christie,mystery,1920,3.99,195991,https://images.gr-assets.com/books/1386922393s/16343.jpg
1112,A Study in Scarlet ,Arthur Conan Doyle,mystery,1887,4.15,264397,https://images.gr-assets.com/books/1519031842s/102868.jpg
1113,The Girl Who Kicked the Hornet's Nest ,Stieg Larsson,mystery,2007,4.22,581762,https://images.gr-assets.com/books/1327708260s/6892870.jpg
1114,The Hound of the Baskervilles ,Arthur Conan Doyle,mystery,1902,4.1,207331,https://images.gr-assets.com/books/1355929358s/8921.jpg
1115,One for the Money ,Janet Evanovich,mystery,1994,4.03,443798,https://images.gr-assets.com/books/1316730230s/6853.jpg
1116,The Murder of Roger Ackroyd ,Agatha Christie,mystery,1926,4.23,110680,https://images.gr-assets.com/books/1389734015s/16328.jpg
1117,The Silkworm ,Robert Galbraith,mystery,2014,4.04,181296,https://images.gr-assets.com/books/1540217126s/18214414.jpg
1118,Dark Places ,Gillian Flynn,mystery,2009,3.93,472311,https://images.gr-assets.com/books/1354988288s/5886881.jpg
1119,Sharp Objects ,Gillian Flynn,mystery,2006,3.95,495374,https://images.gr-assets.com/books/1475695315s/18045891.jpg
1120,The Adventures of Sherlock Holmes ,Arthur Conan Doyle,mystery,1892,4.31,210357,https://images.gr-assets.com/books/1164045516s/3590.jpg
1121,Still Life ,Louise Penny,mystery,2005,3.88,106744,https://images.gr-assets.com/books/1324373974s/338691.jpg
1122,Murder at the Vicarage ,Agatha Christie,mystery,1930,4.05,119668,https://images.gr-assets.com/books/1388386575s/16331.jpg
1123,The Lost Symbol ,Dan Brown,mystery,2009,3.69,460033,https://images.gr-assets.com/books/1534070883s/6411961.jpg
1124,Death on the Nile ,Agatha Christie,mystery,1937,4.09,92295,https://images.gr-assets.com/books/1486837149s/131359.jpg
1125,The No. 1 Ladies' Detective Agency ,Alexander McCall Smith,mystery,1998,3.77,208864,https://images.gr-assets.com/books/1459953654s/7061.jpg
1126,The Beekeeper's Apprentice ,Laurie R. King,mystery,1994,4.07,61625,https://images.gr-assets.com/books/1390284148s/91661.jpg
1127,Rebecca ,Daphne du Maurier,mystery,1938,4.22,378113,https://images.gr-assets.com/books/1386605169s/17899948.jpg
1128,Career of Evil ,Robert Galbraith,mystery,2015,4.22,129575,https://images.gr-assets.com/books/1529685910s/40611999.jpg
1129,The Westing Game ,Ellen Raskin,mystery,1978,4.03,140921,https://images.gr-assets.com/books/1356850909s/902.jpg
1130,The A.B.C. Murders ,Agatha Christie,mystery,1936,4.0,73351,https://images.gr-assets.com/books/1389733983s/16322.jpg
1131,The Shadow of the Wind ,Carlos Ruiz Zafón,mystery,2001,4.26,374865,https://images.gr-assets.com/books/1344545047s/1232.jpg
1132,The Curious Incident of the Dog in the Night-Time ,Mark Haddon,mystery,2003,3.87,1034979,https://images.gr-assets.com/books/1479863624s/1618.jpg
1133,A is for Alibi ,Sue Grafton,mystery,1982,3.83,142916,https://images.gr-assets.com/books/1388198817s/64863.jpg
